gene_id	genome_id	gene_length	centroid_99	centroid_95	centroid_90	centroid_85	centroid_80	centroid_75
TM7x_00039	TM7x	507	TM7x_00039	TM7x_00039	TM7x_00039	TM7x_00039	TM7x_00039	TM7x_00039
TM7x_00040	TM7x	1041	TM7x_00040	TM7x_00040	TM7x_00040	TM7x_00040	TM7x_00040	TM7x_00040
TM7x_00041	TM7x	1212	TM7x_00041	TM7x_00041	TM7x_00041	TM7x_00041	TM7x_00041	TM7x_00041
TM7x_00042	TM7x	837	TM7x_00042	TM7x_00042	TM7x_00042	TM7x_00042	TM7x_00042	TM7x_00042
TM7x_00043	TM7x	90	TM7x_00043	TM7x_00043	TM7x_00043	TM7x_00043	TM7x_00043	TM7x_00043
TM7x_00044	TM7x	912	TM7x_00044	TM7x_00044	TM7x_00044	TM7x_00044	TM7x_00044	TM7x_00044
TM7x_00045	TM7x	2403	TM7x_00045	TM7x_00045	TM7x_00045	TM7x_00045	TM7x_00045	TM7x_00045
TM7x_00046	TM7x	978	TM7x_00046	TM7x_00046	TM7x_00046	TM7x_00046	TM7x_00046	TM7x_00046
TM7x_00047	TM7x	396	TM7x_00047	TM7x_00047	TM7x_00047	TM7x_00047	TM7x_00047	TM7x_00047
TM7x_00048	TM7x	180	TM7x_00048	TM7x_00048	TM7x_00048	TM7x_00048	TM7x_00048	TM7x_00048
TM7x_00049	TM7x	159	TM7x_00049	TM7x_00049	TM7x_00049	TM7x_00049	TM7x_00049	TM7x_00049
TM7x_00050	TM7x	1632	TM7x_00050	TM7x_00050	TM7x_00050	TM7x_00050	TM7x_00050	TM7x_00050
TM7x_00051	TM7x	435	TM7x_00051	TM7x_00051	TM7x_00051	TM7x_00051	TM7x_00051	TM7x_00051
TM7x_00052	TM7x	2547	TM7x_00052	TM7x_00052	TM7x_00052	TM7x_00052	TM7x_00052	TM7x_00052
TM7x_00053	TM7x	579	TM7x_00053	TM7x_00053	TM7x_00053	TM7x_00053	TM7x_00053	TM7x_00053
TM7x_00054	TM7x	339	TM7x_00054	TM7x_00054	TM7x_00054	TM7x_00054	TM7x_00054	TM7x_00054
TM7x_00055	TM7x	612	TM7x_00055	TM7x_00055	TM7x_00055	TM7x_00055	TM7x_00055	TM7x_00055
TM7x_00056	TM7x	1734	TM7x_00056	TM7x_00056	TM7x_00056	TM7x_00056	TM7x_00056	TM7x_00056
TM7x_00057	TM7x	960	TM7x_00057	TM7x_00057	TM7x_00057	TM7x_00057	TM7x_00057	TM7x_00057
TM7x_00058	TM7x	588	TM7x_00058	TM7x_00058	TM7x_00058	TM7x_00058	TM7x_00058	TM7x_00058
TM7x_00059	TM7x	672	TM7x_00059	TM7x_00059	TM7x_00059	TM7x_00059	TM7x_00059	TM7x_00059
TM7x_00060	TM7x	2535	TM7x_00060	TM7x_00060	TM7x_00060	TM7x_00060	TM7x_00060	TM7x_00060
TM7x_00061	TM7x	645	TM7x_00061	TM7x_00061	TM7x_00061	TM7x_00061	TM7x_00061	TM7x_00061
TM7x_00062	TM7x	969	TM7x_00062	TM7x_00062	TM7x_00062	TM7x_00062	TM7x_00062	TM7x_00062
TM7x_00063	TM7x	900	TM7x_00063	TM7x_00063	TM7x_00063	TM7x_00063	TM7x_00063	TM7x_00063
TM7x_00064	TM7x	369	TM7x_00064	TM7x_00064	TM7x_00064	TM7x_00064	TM7x_00064	TM7x_00064
TM7x_00065	TM7x	1698	TM7x_00065	TM7x_00065	TM7x_00065	TM7x_00065	TM7x_00065	TM7x_00065
TM7x_00066	TM7x	657	TM7x_00066	TM7x_00066	TM7x_00066	TM7x_00066	TM7x_00066	TM7x_00066
TM7x_00067	TM7x	267	TM7x_00067	TM7x_00067	TM7x_00067	TM7x_00067	TM7x_00067	TM7x_00067
TM7x_00068	TM7x	600	TM7x_00068	TM7x_00068	TM7x_00068	TM7x_00068	TM7x_00068	TM7x_00068
TM7x_00069	TM7x	2118	TM7x_00069	TM7x_00069	TM7x_00069	TM7x_00069	TM7x_00069	TM7x_00069
TM7x_00070	TM7x	168	TM7x_00070	TM7x_00070	TM7x_00070	TM7x_00070	TM7x_00070	TM7x_00070
TM7x_00071	TM7x	753	TM7x_00071	TM7x_00071	TM7x_00071	TM7x_00071	TM7x_00071	TM7x_00071
TM7x_00072	TM7x	837	TM7x_00072	TM7x_00072	TM7x_00072	TM7x_00072	TM7x_00072	TM7x_00072
TM7x_00073	TM7x	2166	TM7x_00073	TM7x_00073	TM7x_00073	TM7x_00073	TM7x_00073	TM7x_00073
TM7x_00074	TM7x	2214	TM7x_00074	TM7x_00074	TM7x_00074	TM7x_00074	TM7x_00074	TM7x_00074
TM7x_00075	TM7x	618	TM7x_00075	TM7x_00075	TM7x_00075	TM7x_00075	TM7x_00075	TM7x_00075
TM7x_00076	TM7x	354	TM7x_00076	TM7x_00076	TM7x_00076	TM7x_00076	TM7x_00076	TM7x_00076
TM7x_00077	TM7x	423	TM7x_00077	TM7x_00077	TM7x_00077	TM7x_00077	TM7x_00077	TM7x_00077
TM7x_00078	TM7x	198	TM7x_00078	TM7x_00078	TM7x_00078	TM7x_00078	TM7x_00078	TM7x_00078
TM7x_00079	TM7x	561	TM7x_00079	TM7x_00079	TM7x_00079	TM7x_00079	TM7x_00079	TM7x_00079
TM7x_00080	TM7x	723	TM7x_00080	TM7x_00080	TM7x_00080	TM7x_00080	TM7x_00080	TM7x_00080
TM7x_00081	TM7x	1080	TM7x_00081	TM7x_00081	TM7x_00081	TM7x_00081	TM7x_00081	TM7x_00081
TM7x_00082	TM7x	2928	TM7x_00082	TM7x_00082	TM7x_00082	TM7x_00082	TM7x_00082	TM7x_00082
TM7x_00083	TM7x	1047	TM7x_00083	TM7x_00083	TM7x_00083	TM7x_00083	TM7x_00083	TM7x_00083
TM7x_00084	TM7x	738	TM7x_00084	TM7x_00084	TM7x_00084	TM7x_00084	TM7x_00084	TM7x_00084
TM7x_00085	TM7x	669	TM7x_00085	TM7x_00085	TM7x_00085	TM7x_00085	TM7x_00085	TM7x_00085
TM7x_00086	TM7x	231	TM7x_00086	TM7x_00086	TM7x_00086	TM7x_00086	TM7x_00086	TM7x_00086
TM7x_00087	TM7x	1761	TM7x_00087	TM7x_00087	TM7x_00087	TM7x_00087	TM7x_00087	TM7x_00087
TM7x_00088	TM7x	1071	TM7x_00088	TM7x_00088	TM7x_00088	TM7x_00088	TM7x_00088	TM7x_00088
TM7x_00089	TM7x	1215	TM7x_00089	TM7x_00089	TM7x_00089	TM7x_00089	TM7x_00089	TM7x_00089
TM7x_00090	TM7x	480	TM7x_00090	TM7x_00090	TM7x_00090	TM7x_00090	TM7x_00090	TM7x_00090
TM7x_00091	TM7x	882	TM7x_00091	TM7x_00091	TM7x_00091	TM7x_00091	TM7x_00091	TM7x_00091
TM7x_00092	TM7x	741	TM7x_00092	TM7x_00092	TM7x_00092	TM7x_00092	TM7x_00092	TM7x_00092
TM7x_00093	TM7x	582	TM7x_00093	TM7x_00093	TM7x_00093	TM7x_00093	TM7x_00093	TM7x_00093
TM7x_00094	TM7x	699	TM7x_00094	TM7x_00094	TM7x_00094	TM7x_00094	TM7x_00094	TM7x_00094
TM7x_00095	TM7x	1143	TM7x_00095	TM7x_00095	TM7x_00095	TM7x_00095	TM7x_00095	TM7x_00095
TM7x_00096	TM7x	918	TM7x_00096	TM7x_00096	TM7x_00096	TM7x_00096	TM7x_00096	TM7x_00096
TM7x_00097	TM7x	525	TM7x_00097	TM7x_00097	TM7x_00097	TM7x_00097	TM7x_00097	TM7x_00097
TM7x_00098	TM7x	77	TM7x_00098	TM7x_00098	TM7x_00098	TM7x_00098	TM7x_00098	TM7x_00098
TM7x_00099	TM7x	531	TM7x_00099	TM7x_00099	TM7x_00099	TM7x_00099	TM7x_00099	TM7x_00099
TM7x_00100	TM7x	999	TM7x_00100	TM7x_00100	TM7x_00100	TM7x_00100	TM7x_00100	TM7x_00100
TM7x_00101	TM7x	76	TM7x_00101	TM7x_00101	TM7x_00101	TM7x_00101	TM7x_00101	TM7x_00101
TM7x_00102	TM7x	378	TM7x_00102	TM7x_00102	TM7x_00102	TM7x_00102	TM7x_00102	TM7x_00102
TM7x_00103	TM7x	1683	TM7x_00103	TM7x_00103	TM7x_00103	TM7x_00103	TM7x_00103	TM7x_00103
TM7x_00104	TM7x	483	TM7x_00104	TM7x_00104	TM7x_00104	TM7x_00104	TM7x_00104	TM7x_00104
TM7x_00105	TM7x	77	TM7x_00105	TM7x_00105	TM7x_00105	TM7x_00105	TM7x_00105	TM7x_00105
TM7x_00106	TM7x	1812	TM7x_00106	TM7x_00106	TM7x_00106	TM7x_00106	TM7x_00106	TM7x_00106
TM7x_00107	TM7x	324	TM7x_00107	TM7x_00107	TM7x_00107	TM7x_00107	TM7x_00107	TM7x_00107
TM7x_00108	TM7x	891	TM7x_00108	TM7x_00108	TM7x_00108	TM7x_00108	TM7x_00108	TM7x_00108
TM7x_00109	TM7x	588	TM7x_00109	TM7x_00109	TM7x_00109	TM7x_00109	TM7x_00109	TM7x_00109
TM7x_00110	TM7x	639	TM7x_00110	TM7x_00110	TM7x_00110	TM7x_00110	TM7x_00110	TM7x_00110
TM7x_00111	TM7x	207	TM7x_00111	TM7x_00111	TM7x_00111	TM7x_00111	TM7x_00111	TM7x_00111
TM7x_00112	TM7x	645	TM7x_00112	TM7x_00112	TM7x_00112	TM7x_00112	TM7x_00112	TM7x_00112
TM7x_00113	TM7x	111	TM7x_00113	TM7x_00113	TM7x_00113	TM7x_00113	TM7x_00113	TM7x_00113
TM7x_00114	TM7x	342	TM7x_00114	TM7x_00114	TM7x_00114	TM7x_00114	TM7x_00114	TM7x_00114
TM7x_00115	TM7x	195	TM7x_00115	TM7x_00115	TM7x_00115	TM7x_00115	TM7x_00115	TM7x_00115
TM7x_00116	TM7x	423	TM7x_00116	TM7x_00116	TM7x_00116	TM7x_00116	TM7x_00116	TM7x_00116
TM7x_00117	TM7x	1524	TM7x_00117	TM7x_00117	TM7x_00117	TM7x_00117	TM7x_00117	TM7x_00117
TM7x_00118	TM7x	372	TM7x_00118	TM7x_00118	TM7x_00118	TM7x_00118	TM7x_00118	TM7x_00118
TM7x_00119	TM7x	489	TM7x_00119	TM7x_00119	TM7x_00119	TM7x_00119	TM7x_00119	TM7x_00119
TM7x_00120	TM7x	2850	TM7x_00120	TM7x_00120	TM7x_00120	TM7x_00120	TM7x_00120	TM7x_00120
TM7x_00121	TM7x	573	TM7x_00121	TM7x_00121	TM7x_00121	TM7x_00121	TM7x_00121	TM7x_00121
TM7x_00122	TM7x	1605	TM7x_00122	TM7x_00122	TM7x_00122	TM7x_00122	TM7x_00122	TM7x_00122
TM7x_00123	TM7x	2058	TM7x_00123	TM7x_00123	TM7x_00123	TM7x_00123	TM7x_00123	TM7x_00123
TM7x_00124	TM7x	2499	TM7x_00124	TM7x_00124	TM7x_00124	TM7x_00124	TM7x_00124	TM7x_00124
TM7x_00125	TM7x	432	TM7x_00125	TM7x_00125	TM7x_00125	TM7x_00125	TM7x_00125	TM7x_00125
TM7x_00126	TM7x	1474	TM7x_00126	TM7x_00126	TM7x_00126	TM7x_00126	TM7x_00126	TM7x_00126
TM7x_00127	TM7x	201	TM7x_00127	TM7x_00127	TM7x_00127	TM7x_00127	TM7x_00127	TM7x_00127
TM7x_00128	TM7x	240	TM7x_00128	TM7x_00128	TM7x_00128	TM7x_00128	TM7x_00128	TM7x_00128
TM7x_00129	TM7x	77	TM7x_00129	TM7x_00129	TM7x_00129	TM7x_00129	TM7x_00129	TM7x_00129
TM7x_00130	TM7x	77	TM7x_00130	TM7x_00130	TM7x_00130	TM7x_00130	TM7x_00130	TM7x_00130
TM7x_00131	TM7x	77	TM7x_00131	TM7x_00131	TM7x_00131	TM7x_00131	TM7x_00131	TM7x_00129
TM7x_00132	TM7x	1176	TM7x_00132	TM7x_00132	TM7x_00132	TM7x_00132	TM7x_00132	TM7x_00132
TM7x_00133	TM7x	3104	TM7x_00133	TM7x_00133	TM7x_00133	TM7x_00133	TM7x_00133	TM7x_00133
TM7x_00134	TM7x	89	TM7x_00134	TM7x_00134	TM7x_00134	TM7x_00134	TM7x_00134	TM7x_00134
TM7x_00135	TM7x	732	TM7x_00135	TM7x_00135	TM7x_00135	TM7x_00135	TM7x_00135	TM7x_00135
TM7x_00136	TM7x	717	TM7x_00136	TM7x_00136	TM7x_00136	TM7x_00136	TM7x_00136	TM7x_00136
TM7x_00137	TM7x	210	TM7x_00137	TM7x_00137	TM7x_00137	TM7x_00137	TM7x_00137	TM7x_00137
TM7x_00138	TM7x	465	TM7x_00138	TM7x_00138	TM7x_00138	TM7x_00138	TM7x_00138	TM7x_00138
TM7x_00139	TM7x	813	TM7x_00139	TM7x_00139	TM7x_00139	TM7x_00139	TM7x_00139	TM7x_00139
TM7x_00140	TM7x	432	TM7x_00140	TM7x_00140	TM7x_00140	TM7x_00140	TM7x_00140	TM7x_00140
TM7x_00141	TM7x	1125	TM7x_00141	TM7x_00141	TM7x_00141	TM7x_00141	TM7x_00141	TM7x_00141
TM7x_00142	TM7x	1770	TM7x_00142	TM7x_00142	TM7x_00142	TM7x_00142	TM7x_00142	TM7x_00142
TM7x_00143	TM7x	1320	TM7x_00143	TM7x_00143	TM7x_00143	TM7x_00143	TM7x_00143	TM7x_00143
TM7x_00144	TM7x	315	TM7x_00144	TM7x_00144	TM7x_00144	TM7x_00144	TM7x_00144	TM7x_00144
TM7x_00145	TM7x	474	TM7x_00145	TM7x_00145	TM7x_00145	TM7x_00145	TM7x_00145	TM7x_00145
TM7x_00146	TM7x	891	TM7x_00146	TM7x_00146	TM7x_00146	TM7x_00146	TM7x_00146	TM7x_00146
TM7x_00147	TM7x	576	TM7x_00147	TM7x_00147	TM7x_00147	TM7x_00147	TM7x_00147	TM7x_00147
TM7x_00148	TM7x	1941	TM7x_00148	TM7x_00148	TM7x_00148	TM7x_00148	TM7x_00148	TM7x_00148
TM7x_00149	TM7x	660	TM7x_00149	TM7x_00149	TM7x_00149	TM7x_00149	TM7x_00149	TM7x_00149
TM7x_00150	TM7x	303	TM7x_00150	TM7x_00150	TM7x_00150	TM7x_00150	TM7x_00150	TM7x_00150
TM7x_00151	TM7x	1629	TM7x_00151	TM7x_00151	TM7x_00151	TM7x_00151	TM7x_00151	TM7x_00151
TM7x_00152	TM7x	621	TM7x_00152	TM7x_00152	TM7x_00152	TM7x_00152	TM7x_00152	TM7x_00152
TM7x_00153	TM7x	216	TM7x_00153	TM7x_00153	TM7x_00153	TM7x_00153	TM7x_00153	TM7x_00153
TM7x_00154	TM7x	459	TM7x_00154	TM7x_00154	TM7x_00154	TM7x_00154	TM7x_00154	TM7x_00154
TM7x_00155	TM7x	558	TM7x_00155	TM7x_00155	TM7x_00155	TM7x_00155	TM7x_00155	TM7x_00155
TM7x_00156	TM7x	768	TM7x_00156	TM7x_00156	TM7x_00156	TM7x_00156	TM7x_00156	TM7x_00156
TM7x_00157	TM7x	627	TM7x_00157	TM7x_00157	TM7x_00157	TM7x_00157	TM7x_00157	TM7x_00157
TM7x_00158	TM7x	1236	TM7x_00158	TM7x_00158	TM7x_00158	TM7x_00158	TM7x_00158	TM7x_00158
TM7x_00159	TM7x	1194	TM7x_00159	TM7x_00159	TM7x_00159	TM7x_00159	TM7x_00159	TM7x_00159
TM7x_00160	TM7x	456	TM7x_00160	TM7x_00160	TM7x_00160	TM7x_00160	TM7x_00160	TM7x_00160
TM7x_00161	TM7x	261	TM7x_00161	TM7x_00161	TM7x_00161	TM7x_00161	TM7x_00161	TM7x_00161
TM7x_00162	TM7x	609	TM7x_00162	TM7x_00162	TM7x_00162	TM7x_00162	TM7x_00162	TM7x_00162
TM7x_00163	TM7x	2427	TM7x_00163	TM7x_00163	TM7x_00163	TM7x_00163	TM7x_00163	TM7x_00163
TM7x_00164	TM7x	693	TM7x_00164	TM7x_00164	TM7x_00164	TM7x_00164	TM7x_00164	TM7x_00164
TM7x_00165	TM7x	696	TM7x_00165	TM7x_00165	TM7x_00165	TM7x_00165	TM7x_00165	TM7x_00165
TM7x_00166	TM7x	987	TM7x_00166	TM7x_00166	TM7x_00166	TM7x_00166	TM7x_00166	TM7x_00166
TM7x_00167	TM7x	171	TM7x_00167	TM7x_00167	TM7x_00167	TM7x_00167	TM7x_00167	TM7x_00167
TM7x_00168	TM7x	3009	TM7x_00168	TM7x_00168	TM7x_00168	TM7x_00168	TM7x_00168	TM7x_00168
TM7x_00169	TM7x	198	TM7x_00169	TM7x_00169	TM7x_00169	TM7x_00169	TM7x_00169	TM7x_00169
TM7x_00170	TM7x	828	TM7x_00170	TM7x_00170	TM7x_00170	TM7x_00170	TM7x_00170	TM7x_00170
TM7x_00171	TM7x	306	TM7x_00171	TM7x_00171	TM7x_00171	TM7x_00171	TM7x_00171	TM7x_00171
TM7x_00172	TM7x	765	TM7x_00172	TM7x_00172	TM7x_00172	TM7x_00172	TM7x_00172	TM7x_00172
TM7x_00173	TM7x	879	TM7x_00173	TM7x_00173	TM7x_00173	TM7x_00173	TM7x_00173	TM7x_00173
TM7x_00174	TM7x	591	TM7x_00174	TM7x_00174	TM7x_00174	TM7x_00174	TM7x_00174	TM7x_00174
TM7x_00175	TM7x	1626	TM7x_00175	TM7x_00175	TM7x_00175	TM7x_00175	TM7x_00175	TM7x_00175
TM7x_00176	TM7x	765	TM7x_00176	TM7x_00176	TM7x_00176	TM7x_00176	TM7x_00176	TM7x_00176
TM7x_00177	TM7x	1116	TM7x_00177	TM7x_00177	TM7x_00177	TM7x_00177	TM7x_00177	TM7x_00177
TM7x_00178	TM7x	831	TM7x_00178	TM7x_00178	TM7x_00178	TM7x_00178	TM7x_00178	TM7x_00178
TM7x_00179	TM7x	342	TM7x_00179	TM7x_00179	TM7x_00179	TM7x_00179	TM7x_00179	TM7x_00179
TM7x_00180	TM7x	1071	TM7x_00180	TM7x_00180	TM7x_00180	TM7x_00180	TM7x_00180	TM7x_00180
TM7x_00181	TM7x	663	TM7x_00181	TM7x_00181	TM7x_00181	TM7x_00181	TM7x_00181	TM7x_00181
TM7x_00182	TM7x	357	TM7x_00182	TM7x_00182	TM7x_00182	TM7x_00182	TM7x_00182	TM7x_00182
TM7x_00183	TM7x	657	TM7x_00183	TM7x_00183	TM7x_00183	TM7x_00183	TM7x_00183	TM7x_00183
TM7x_00184	TM7x	729	TM7x_00184	TM7x_00184	TM7x_00184	TM7x_00184	TM7x_00184	TM7x_00184
TM7x_00185	TM7x	597	TM7x_00185	TM7x_00185	TM7x_00185	TM7x_00185	TM7x_00185	TM7x_00185
TM7x_00186	TM7x	1053	TM7x_00186	TM7x_00186	TM7x_00186	TM7x_00186	TM7x_00186	TM7x_00186
TM7x_00187	TM7x	555	TM7x_00187	TM7x_00187	TM7x_00187	TM7x_00187	TM7x_00187	TM7x_00187
TM7x_00188	TM7x	420	TM7x_00188	TM7x_00188	TM7x_00188	TM7x_00188	TM7x_00188	TM7x_00188
TM7x_00189	TM7x	696	TM7x_00189	TM7x_00189	TM7x_00189	TM7x_00189	TM7x_00189	TM7x_00189
TM7x_00190	TM7x	1161	TM7x_00190	TM7x_00190	TM7x_00190	TM7x_00190	TM7x_00190	TM7x_00190
TM7x_00191	TM7x	801	TM7x_00191	TM7x_00191	TM7x_00191	TM7x_00191	TM7x_00191	TM7x_00191
TM7x_00192	TM7x	1248	TM7x_00192	TM7x_00192	TM7x_00192	TM7x_00192	TM7x_00192	TM7x_00192
TM7x_00193	TM7x	456	TM7x_00193	TM7x_00193	TM7x_00193	TM7x_00193	TM7x_00193	TM7x_00193
TM7x_00194	TM7x	1503	TM7x_00194	TM7x_00194	TM7x_00194	TM7x_00194	TM7x_00194	TM7x_00194
TM7x_00195	TM7x	1755	TM7x_00195	TM7x_00195	TM7x_00195	TM7x_00195	TM7x_00195	TM7x_00195
TM7x_00196	TM7x	954	TM7x_00196	TM7x_00196	TM7x_00196	TM7x_00196	TM7x_00196	TM7x_00196
TM7x_00197	TM7x	609	TM7x_00197	TM7x_00197	TM7x_00197	TM7x_00197	TM7x_00197	TM7x_00197
TM7x_00198	TM7x	1308	TM7x_00198	TM7x_00198	TM7x_00198	TM7x_00198	TM7x_00198	TM7x_00198
TM7x_00199	TM7x	702	TM7x_00199	TM7x_00199	TM7x_00199	TM7x_00199	TM7x_00199	TM7x_00199
TM7x_00200	TM7x	345	TM7x_00200	TM7x_00200	TM7x_00200	TM7x_00200	TM7x_00200	TM7x_00200
TM7x_00201	TM7x	1287	TM7x_00201	TM7x_00201	TM7x_00201	TM7x_00201	TM7x_00201	TM7x_00201
TM7x_00202	TM7x	840	TM7x_00202	TM7x_00202	TM7x_00202	TM7x_00202	TM7x_00202	TM7x_00202
TM7x_00203	TM7x	1242	TM7x_00203	TM7x_00203	TM7x_00203	TM7x_00203	TM7x_00203	TM7x_00203
TM7x_00204	TM7x	372	TM7x_00204	TM7x_00204	TM7x_00204	TM7x_00204	TM7x_00204	TM7x_00204
TM7x_00205	TM7x	2661	TM7x_00205	TM7x_00205	TM7x_00205	TM7x_00205	TM7x_00205	TM7x_00205
TM7x_00206	TM7x	1278	TM7x_00206	TM7x_00206	TM7x_00206	TM7x_00206	TM7x_00206	TM7x_00206
TM7x_00207	TM7x	1245	TM7x_00207	TM7x_00207	TM7x_00207	TM7x_00207	TM7x_00207	TM7x_00207
TM7x_00208	TM7x	546	TM7x_00208	TM7x_00208	TM7x_00208	TM7x_00208	TM7x_00208	TM7x_00208
TM7x_00209	TM7x	1092	TM7x_00209	TM7x_00209	TM7x_00209	TM7x_00209	TM7x_00209	TM7x_00209
TM7x_00210	TM7x	684	TM7x_00210	TM7x_00210	TM7x_00210	TM7x_00210	TM7x_00210	TM7x_00210
TM7x_00211	TM7x	984	TM7x_00211	TM7x_00211	TM7x_00211	TM7x_00211	TM7x_00211	TM7x_00211
TM7x_00212	TM7x	1137	TM7x_00212	TM7x_00212	TM7x_00212	TM7x_00212	TM7x_00212	TM7x_00212
TM7x_00213	TM7x	1176	TM7x_00213	TM7x_00213	TM7x_00213	TM7x_00213	TM7x_00213	TM7x_00213
TM7x_00214	TM7x	384	TM7x_00214	TM7x_00214	TM7x_00214	TM7x_00214	TM7x_00214	TM7x_00214
TM7x_00215	TM7x	237	TM7x_00215	TM7x_00215	TM7x_00215	TM7x_00215	TM7x_00215	TM7x_00215
TM7x_00216	TM7x	303	TM7x_00216	TM7x_00216	TM7x_00216	TM7x_00216	TM7x_00216	TM7x_00216
TM7x_00217	TM7x	963	TM7x_00217	TM7x_00217	TM7x_00217	TM7x_00217	TM7x_00217	TM7x_00217
TM7x_00218	TM7x	627	TM7x_00218	TM7x_00218	TM7x_00218	TM7x_00218	TM7x_00218	TM7x_00218
TM7x_00219	TM7x	273	TM7x_00219	TM7x_00219	TM7x_00219	TM7x_00219	TM7x_00219	TM7x_00219
